"TPLName","Family","Alpine","Seed.mass","Seed.mass.rank","Embryo","Embryo.rank","Dormancy"
"Gentiana dahurica","Gentianaceae","Generalist",0.226333333333333,"Species",0.07,"Genus","MPD"
"Gentiana leucomelaena","Gentianaceae","Generalist",0.05185,"Species",0.07,"Genus","PD"
"Gentiana nivalis","Gentianaceae","Strict",0.027,"Species",0.07,"Genus","MPD"
"Gentiana nubigena","Gentianaceae","Strict",0.281666666666667,"Species",0.07,"Genus","MPD"
"Gentiana prostrata","Gentianaceae","Generalist",0.0549833333333333,"Species",0.07,"Genus",NA
"Gentiana punctata","Gentianaceae","Strict",0.6989,"Species",0.07,"Genus","MPD"
"Gentiana sino-ornata","Gentianaceae","Generalist",0.23157,"Genus",0.07,"Genus",NA
"Gentiana siphonantha","Gentianaceae","Generalist",0.362,"Species",0.07,"Genus",NA
"Gentiana straminea","Gentianaceae","Generalist",0.2649,"Species",0.07,"Genus","MPD"
"Gentiana szechenyii","Gentianaceae","Strict",0.184666666666667,"Species",0.07,"Genus","PD"
"Gentiana verna","Gentianaceae","Generalist",0.0882666666666667,"Species",0.07,"Genus","MPD"
"Gentianella amarella","Gentianaceae","Generalist",0.201846666666667,"Genus",0.21,"Family","MPD"
"Gentianella anisodonta","Gentianaceae","Strict",0.201846666666667,"Genus",0.21,"Family",NA
"Gentianella muelleriana","Gentianaceae","Strict",0.4126,"Species",0.21,"Family",NA
"Gentianopsis barbata","Gentianaceae","Generalist",0.063,"Species",0.05,"Genus","PD"
"Gentianopsis paludosa","Gentianaceae","Generalist",0.181111111111111,"Species",0.05,"Genus","PD"
"Geranium pylzowianum","Geraniaceae","Generalist",2.728,"Species",1,"Genus",NA
"Geum montanum","Rosaceae","Strict",1.044,"Species",1,"Genus","PD"
"Geum pyrenaicum","Rosaceae","Generalist",1.91604090909091,"Genus",1,"Genus",NA
"Geum rivale","Rosaceae","Generalist",1.91604090909091,"Genus",1,"Genus","PD"
"Gingidia algens","Apiaceae","Strict",4,"Genus",0.06,"Family",NA
"Gnaphalium supinum","Compositae","Strict",0.0852,"Species",1,"Genus",NA
"Hedysarum caucasicum","Leguminosae","Generalist",6.686,"Species",0.98,"Genus",NA
